shipment_id,order_date,dispatch_date,promised_delivery_date,delivery_date,region,city,customer_type,shipment_type,carrier,product_category,weight_kg,distance_km,shipping_cost,order_value,delivery_status,delay_days,customer_rating,delivery_time_days,on_time_flag,cost_per_km,cost_per_kg
1,4/24/2024,4/26/2024,5/2/2024,5/2/2024,Central,Riyadh,VIP,Standard,AramexPlus,Fashion,5.63,208,24.9,76.14,Delivered,0,4,6,1,0.119711538,4.422735346
2,2/14/2024,2/16/2024,2/18/2024,2/18/2024,Western,Madinah,Retail,Express,FastGo,Medical,26.98,328,62.38,101.09,Delivered,0,5,2,1,0.190182927,2.312083024
3,2/17/2024,2/18/2024,2/19/2024,2/19/2024,Southern,Jizan,Retail,Same-Day,FastGo,Electronics,3.85,352,58.91,2299.37,Delivered,0,4,1,1,0.167357955,15.3012987
4,4/11/2024,4/13/2024,4/17/2024,4/17/2024,Western,Jeddah,VIP,Standard,FastGo,Medical,2.8,465,35.49,1476.52,Delivered,0,4,4,1,0.076322581,12.675
5,10/28/2024,10/30/2024,11/2/2024,11/4/2024,Southern,Jizan,Business,Standard,PrimeRoute,Home,11.34,266,38.85,639.58,Delayed,2,4,5,0,0.146052632,3.425925926
6,6/23/2024,6/25/2024,7/1/2024,7/2/2024,Eastern,Dammam,Retail,Standard,PrimeRoute,Home,10.08,474,41.76,647.48,Delayed,1,4,7,0,0.088101266,4.142857143
7,2/22/2024,2/23/2024,2/27/2024,2/27/2024,Eastern,Dammam,Business,Standard,PrimeRoute,Grocery,2.63,73,15.75,171.61,Delivered,0,4,4,1,0.215753425,5.988593156
8,6/25/2024,6/26/2024,7/1/2024,7/1/2024,Central,Buraydah,Retail,Standard,FastGo,Grocery,7.06,323,31.8,28.14,Delivered,0,5,5,1,0.098452012,4.504249292
9,10/1/2024,10/2/2024,10/7/2024,10/7/2024,Southern,Jizan,Retail,Standard,FastGo,Home,11.6,152,32.26,859.77,Delivered,0,5,5,1,0.212236842,2.781034483
10,5/30/2024,5/30/2024,6/2/2024,6/2/2024,Central,Buraydah,Business,Standard,FastGo,Medical,5.04,346,31.33,107.73,Delivered,0,5,3,1,0.090549133,6.216269841
11,1/24/2024,1/26/2024,1/29/2024,1/31/2024,Southern,Jizan,Business,Express,PrimeRoute,Electronics,11.15,388,59.78,4617.32,Delayed,2,3,5,0,0.154072165,5.361434978
12,2/21/2024,2/21/2024,2/24/2024,2/24/2024,Western,Makkah,Retail,Express,FastGo,Fashion,8.16,426,49.18,336.9,Delivered,0,5,3,1,0.115446009,6.026960784
13,3/24/2024,3/24/2024,3/27/2024,3/31/2024,Northern,Hail,Retail,Express,LocalShip,Grocery,24.99,561,90.55,27.28,Delayed,4,1,7,0,0.1614082,3.62344938
14,12/25/2024,12/25/2024,12/28/2024,12/28/2024,Eastern,Khobar,Retail,Express,PrimeRoute,Grocery,20.56,82,39.71,111.54,Delivered,0,4,3,1,0.484268293,1.931420233
15,8/24/2024,8/24/2024,8/24/2024,8/24/2024,Central,Riyadh,Retail,Same-Day,PrimeRoute,Fashion,11.34,190,45.72,180.39,Delivered,0,4,0,1,0.240631579,4.031746032
16,1/29/2024,1/29/2024,2/2/2024,2/4/2024,Northern,Hail,VIP,Standard,PrimeRoute,Grocery,3.01,745,59.59,178.99,Delayed,2,4,6,0,0.079986577,19.79734219
17,5/17/2024,5/17/2024,5/22/2024,5/22/2024,Western,Jeddah,Retail,Standard,AramexPlus,Home,3.12,209,22.95,100.73,Delivered,0,5,5,1,0.109808612,7.355769231
18,12/1/2024,12/2/2024,12/8/2024,12/9/2024,Central,Riyadh,Retail,Standard,AramexPlus,Fashion,3.05,430,33.94,201.93,Delayed,1,4,7,0,0.078930233,11.12786885
